iter	MAE
363	0.346525157
364	0.3464426502
365	0.3463921819
366	0.3463292359
367	0.3462726203
368	0.3461933841
369	0.3461272006
370	0.3460331527
371	0.3459871478
372	0.3459314531
373	0.3458657577
374	0.3457719764
375	0.3457130213
376	0.3456379329
377	0.3455581112
378	0.3454665974
379	0.3454139656
380	0.34534678
381	0.3453070079
382	0.3452555119
383	0.3451449016
384	0.3451008029
385	0.3449806636
386	0.3449021492
387	0.3448251319
388	0.3447621636
389	0.3447050487
390	0.3446552985
391	0.344610156
392	0.3445658488
393	0.3445126302
394	0.3444312732
395	0.3443149182
396	0.3442175106
397	0.3441397834
398	0.3440642031
399	0.3440109705
400	0.3439498168
401	0.3438421886
402	0.3438006121
403	0.3436954295
404	0.3435957493
405	0.3435540996
406	0.3435059927
407	0.3434655668
408	0.3434165091
409	0.3433517347
410	0.3432884458
411	0.3432225059
412	0.3431917413
413	0.3431335558
414	0.343058709
415	0.3429701165
416	0.3429087912
417	0.3428573513
418	0.3427357676
419	0.3426430576
420	0.342579841
421	0.3424973089
422	0.3424297487
423	0.3423587852
424	0.3423163208
425	0.3422201451
426	0.3421478156
427	0.3420928711
428	0.3420489365
429	0.3419776324
430	0.3419141963
431	0.3418373879
432	0.3417975771
433	0.3417281244
434	0.3416789403
435	0.3416016711
436	0.3415255865
437	0.3414551609
438	0.3413718708
439	0.3412889803
440	0.3411934321
441	0.3411052805
442	0.3410530249
443	0.3409708647
444	0.3409104607
445	0.3408227907
446	0.3407540743
447	0.3406943579
448	0.3406107265
449	0.3405502424
450	0.340498854
451	0.3404503709
452	0.3403772047
453	0.3403021349
454	0.3402465882
455	0.3401826204
456	0.3401381554
457	0.3400783372
458	0.3400203508
459	0.3399411374
460	0.339874521
461	0.3398066382
462	0.3397691466
463	0.3397089561
464	0.3396379783
465	0.3395825044
466	0.3395168271
467	0.3394525511
468	0.3394098365
469	0.3393639023
470	0.3393271198
471	0.3392841016
472	0.3392208742
473	0.3391084429
474	0.339016253
475	0.3389530097
476	0.3389089785
477	0.3388274163
